url,name,type,main_location,description,price,feats,neighborhood,antiquity,built_area,privated_area,interiors,exteriors,common_zones,of_the_sector
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-cabecera-del-hato-5-habitaciones-5-banos-4-garajes/5066-M4624596,"Apartamento en Venta, ALTOS DE CABECERA",Inmueble,Bucaramanga,"Vive el privilegio y la exclusividad del mejor apartamento del edificio Majestic emblema de lujo y confort en la ciudad de Bucaramanga, 525 m2 de excelente arquitectura y diseño interior, gran terraza con vista panorámica a la ciudad, 4 elegantes suites de gran formato con baño privado, la principal con jacuzzi, vestier y dos lindas terrazas privadas, 8 años, cocina de lujo blanca de concepto abierto con todo lo que un buen chef necesita, oficina privada, imponente comedor principal, espaciosa sala principal y salon de TV, lobby de alcobas, hermosa sala familiar privada, excelente zona de ropas, alcoba y baño de servicio y baño para visitas, recibidor y ascensor privado, 4 parqueaderos independientes: 2 en Sótano 4 Nos. 12 y 13 y 2 en sótano 5 Nos. 48 y 49 y Bodega #55 en Sótano 4, administración $2'851.159=. Unica zona social en Bucaramanaga con: Vigilancia privada con altos estandares de seguridad, en el PISO 37: Sky Bar con vista paronámica y servicio de bar- restaurante, Spa: sa",$4.000.000.000,"['Código inmueble\n5066-M4624596', 'Barrio común\nALTOS DE CABECERA', 'Precio\n$4.000.000.000', 'Antigüedad\nEntre 5 y 10 años', 'Área construida\n525 m²', 'Área privada\n525 m²', 'Valor administración\n$2.851.159', 'Parqueaderos\n4', '5\nHabitaciones', '5\nBaños', '4\nEstrato']",ALTOS DE CABECERA,Entre 5 y 10 años,525 m²,525 m²,"Citófonos , Comedor auxiliar , Cuarto de servicio , Estudio o biblioteca , Parqueadero cubierto , Hall de alcobas , Jacuzzi , Puerta seguridad , Sauna / turco , Zona de lavandería , Instalación de gas natural , Closets 4 , Piso 25 , Calentador caldera , Tipo de cocina en u , Tipo de comedor sala comedor , ","Citófonos , Comedor auxiliar , Cuarto de servicio , Estudio o biblioteca , Parqueadero cubierto ,  , Area Terraza/Balcón 60 m² , Ascensor , Acceso para discapacitados , Circuito cerrado de TV , Piscina , Vista panorámica , Conjunto cerrado , Número de Ascensores 4 , Terraza/Balcón terraza , Vigilancia 24hrs , ","Area Terraza/Balcón 60 m² , Ascensor , Acceso para discapacitados ,  , Cancha(s) de squash , Gimnasio , Salón comunal , Zona para niños , Zonas verdes , "," , Cerca centros comerciales , Cerca colegios / universidades , Sobre vía principal , "
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-comuneros-2-habitaciones-2-banos-1-garajes/12693-M4662965,"Apartamento en Venta, Comuneros",Inmueble,Bucaramanga,Apartamento en Venta en Edificio Gelvez Barrio Comuneros Comuna San Francisco Bucaramanga,$175.000.000,"['Código inmueble\n12693-M4662965', 'Barrio común\nComuneros', 'Precio\n$175.000.000', 'Antigüedad\nEntre 0 y 5 años', 'Área construida\n59 m²', 'Área privada\n59 m²', 'Parqueaderos\n1', '2\nHabitaciones', '2\nBaños', '3\nEstrato']",Comuneros,Entre 0 y 5 años,59 m²,59 m²,,,,
https://www.metrocuadrado.com/inmueble/venta-casa-valledupar-novalito-5-habitaciones-5-banos-1-garajes/MC4894741,"Casa en Venta, Novalito",Inmueble,Valledupar,"SE VENDE CASA DE LUJO EN EL EXCLUSIVO BARRIO NOVALITO Casa de dos pisos que consta de Lobby, Sala de Star, Sala principal, Comedor, Amplia cocina integral, cuarto de depósito, terraza, estudio y/o oficina, patio interno y garaje con portón eléctrico.",$1.800.000.000,"['Código inmueble\nMC4894741', 'Barrio común\nnovalito', 'Precio\n$1.800.000.000', 'Antigüedad\nEntre 10 y 20 años', 'Área construida\n500 m²', 'Área privada\n300 m²', 'Parqueaderos\n1', '5\nHabitaciones', '5\nBaños', '6\nEstrato']",novalito,Entre 10 y 20 años,500 m²,300 m²,"Baño auxiliar , Características del parqueadero cubierto , Cocina integral , Cuarto de servicio , Estudio o biblioteca , Piso en baldosa , Piso en porcelanato , Piso 2 , Patio , Tipo de parqueadero propio , ","Baño auxiliar , Características del parqueadero cubierto , Cocina integral , Cuarto de servicio ,  , Baños de servicio , Depósito o cuarto útil , Jardín , ","Baños de servicio , Depósito o cuarto útil , Jardín , Zonas verdes , ","Baños de servicio , Depósito o cuarto útil , Jardín , Zonas verdes , Cerca centros comerciales , Cerca colegios / universidades , Cerca parques , Cerca supermercados , Cerca transporte público , Zona residencial , "
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-centro-3-habitaciones-2-banos/10151-M4871225,"Apartamento en Venta, Bolivar",Inmueble,Bucaramanga,"815-4441 D.C COLOMBIA S.A.S Vende apartamento No.503 ubicado en Torre de Vita en la ciudad de Bucaramanga Santander. El inmueble cuenta con un area privada de 62.00M2, esta conformado por sala, comedor, cocina integral, zona de ropas, balcon descubierto, estar de tv, un baño para uso general, tres alcobas, la alcoba principal cuenta con baño privado y vestier. Sus principales vias de acceso son la Carrera 21 y la calle 39, a su alrededor se encuentran droguerias, opticas, litografias y locales comerciales.",$295.000.000,"['Código inmueble\n10151-M4871225', 'Barrio común\nBolivar', 'Precio\n$295.000.000', 'Antigüedad\nEntre 0 y 5 años', 'Área construida\n62 m²', 'Área privada\n62 m²', 'Valor administración\n$209.000', '3\nHabitaciones', '2\nBaños', '4\nEstrato']",Bolivar,Entre 0 y 5 años,62 m²,62 m²,"Calentador no tiene , Tipo de comedor comedor independiente , Tipo acabado de piso baldosa , Tipo de piso en alcobas baldosa , Tipo de piso en comedor baldosa , Tipo de piso en estudio baldosa , Tipo de piso en sala baldosa , ","Calentador no tiene , Tipo de comedor comedor independiente , Tipo acabado de piso baldosa , Tipo de piso en alcobas baldosa ,  , Ascensor , Terraza/Balcón balcón , ","Ascensor , Terraza/Balcón balcón , Zonas verdes , ","Ascensor , Terraza/Balcón balcón , Zonas verdes , Zona residencial , "
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-bosque-norte-3-habitaciones-2-banos-1-garajes/12693-M4890653,"Apartamento en Venta, Chapinero",Inmueble,Bucaramanga,Apartamento en Venta en Soleri Barrio Chapinero Comuna San Francisco Bucaramanga,$165.000.000,"['Código inmueble\n12693-M4890653', 'Barrio común\nChapinero', 'Precio\n$165.000.000', 'Antigüedad\nEntre 10 y 20 años', 'Área construida\n60 m²', 'Área privada\n60 m²', 'Valor administración\n$164.000', 'Parqueaderos\n1', '3\nHabitaciones', '2\nBaños', '3\nEstrato']",Chapinero,Entre 10 y 20 años,60 m²,60 m²,"Piso 14 , ",,,
https://www.metrocuadrado.com/inmueble/venta-apartamento-santa-marta-na-3-habitaciones-2-banos-1-garajes/12273-M4211947,"Apartamento en Venta, Pozos Colorado",Inmueble,Santa Marta,"Venta de apartamento con vista al mar en Pozos Colorados Santa Marta, vive en una zona con mayor valoración urbanística, el edificio cuenta con salida directa al mar, piscina, jacuzzi al aire libre, jardín, zona de juegos, terraza y tiene una hermosa vista al mar. 3 alcobas, 2 baños, sala-comedor, comedor auxiliar, cocina integral, zona de labores, parqueadero, balcón con hermosa vista al mar. Piso 8 Área 107 m2 Administración 700 mil pesos Precio 1.400 millones de pesos.",$1.400.000.000,"['Código inmueble\n12273-M4211947', 'Barrio común\nPozos Colorado', 'Precio\n$1.400.000.000', 'Antigüedad\nEntre 10 y 20 años', 'Área construida\n107 m²', 'Área privada\n107 m²', 'Valor administración\n$700.000', 'Parqueaderos\n1', '3\nHabitaciones', '2\nBaños', '6\nEstrato']",Pozos Colorado,Entre 10 y 20 años,107 m²,107 m²,"Baño auxiliar , Citófonos , Cocina integral , Vigilancia , Zona de lavandería , Piso 8 , ","Baño auxiliar , Citófonos , Cocina integral , Vigilancia ,  , Ascensor , Baños de servicio , Parqueadero visitantes , Piscina , Con terraza , Vista panorámica , Portería , Terraza/Balcón balcón , ","Ascensor , Baños de servicio , Parqueadero visitantes , Piscina , Gimnasio , Salón comunal , Zona de BBQ , Zona para niños , Zonas verdes , ","Gimnasio , Salón comunal ,  , Cerca transporte público , Zona residencial , "
https://www.metrocuadrado.com/inmueble/venta-casa-santa-marta-rodadero-3-habitaciones-3-banos-1-garajes/16912-M4911885,"Casa en Venta, BELLO HORIZONTE",Inmueble,Santa Marta,Casa en conjunto cerrado Club House Sector exclusivo de la ciudad Cerca al Zuana beach resort Excelente ubicación Conjunto de 8 casas,$660.000.000,"['Código inmueble\n16912-M4911885', 'Barrio común\nBELLO HORIZONTE', 'Precio\n$660.000.000', 'Antigüedad\nEntre 5 y 10 años', 'Área construida\n137 m²', 'Área privada\n137 m²', 'Valor administración\n$574.000', 'Parqueaderos\n1', '3\nHabitaciones', '3\nBaños', '6\nEstrato']",BELLO HORIZONTE,Entre 5 y 10 años,137 m²,137 m²,"Apto para niños , Aire acondicionado , Comedor auxiliar , Cuarto de servicio , Hall de alcobas , Puerta seguridad , Zona de lavandería , Se permite fumar , Tipo de casa condominio , Tipo acabado de piso cerámica , Tipo de piso en alcobas cerámica , Tipo de piso en comedor cerámica , Tipo de piso en estudio cerámica , Tipo de piso en sala cerámica , ","Apto para niños , Aire acondicionado , Comedor auxiliar , Cuarto de servicio , Hall de alcobas , Area lote 137 m² , Acceso para discapacitados , Circuito cerrado de TV , Piscina , Vista panorámica , Conjunto cerrado , Esquinero , Vigilancia 12hrs , ","Area lote 137 m² , Acceso para discapacitados ,  , Zonas verdes , ","Zonas verdes , Cerca centros comerciales , Cerca colegios / universidades , Cerca supermercados , Cerca transporte público , Sobre vía secundaria , "
https://www.metrocuadrado.com/inmueble/venta-casa-santa-marta-centro-5-habitaciones-5-banos-2-garajes/10159-M4510568,"Casa en Venta, Arahuacos",Inmueble,Santa Marta,"COD 6848FR585 La casa esta ubicada en un sector campestre exclusivo con gran proyeccion de crecimiento en el sector turistico, cerca a la troncal del caribe, de bellohorizonte, de playa dormida, almacenes de cadena, centro comercial zazue, la casa cuenta con columnas resistenntes y placa de metal deck para un segundo piso, ofrece piscina, garaje para dos vehiculos, tanque subterraneo para almacenamiento de agua contanque elevado, pozo septico con bombas hodroflo pedrollo, y filtros de agua. tiene funcionando todos los servicios publicos. Si cree que esta propiedad es lo que esta buscando, contactame y agendamos una cita.",$650.000.000,"['Código inmueble\n10159-M4510568', 'Barrio común\nArahuacos', 'Precio\n$650.000.000', 'Antigüedad\nEntre 0 y 5 años', 'Área construida\n220 m²', 'Área privada\n357.95 m²', 'Parqueaderos\n2', '5\nHabitaciones', '5\nBaños', '3\nEstrato']",Arahuacos,Entre 0 y 5 años,220 m²,357.95 m²,"Piso 1 , ","Piso 1 , ",,
https://www.metrocuadrado.com/inmueble/venta-apartamento-valledupar-450-aos-2-habitaciones-1-banos/11295-M3606511,"Apartamento en Venta, 450 años",Inmueble,Valledupar,"Excelente oportunidad de inversión, apartamento ubicado en el barrio 450 años. Cuenta con excelentes acabados, tiene sala, cocina, dos habitaciones, baño y un patio trasero.",$80.000.000,"['Código inmueble\n11295-M3606511', 'Barrio común\n450 años', 'Precio\n$80.000.000', 'Antigüedad\nEntre 5 y 10 años', 'Área construida\n37.83 m²', 'Área privada\n37.83 m²', '2\nHabitaciones', '1\nBaños', '3\nEstrato']",450 años,Entre 5 y 10 años,37.83 m²,37.83 m²,"Zona de lavandería , Piso 2 , ",,,
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-san-francisco-3-habitaciones-2-banos-1-garajes/12693-M4890181,"Apartamento en Venta, San Francisco",Inmueble,Bucaramanga,Apartamento en Venta en Condominio Aziz Barrio San Francisco Comuna San Francisco Bucaramanga,$310.000.000,"['Código inmueble\n12693-M4890181', 'Barrio común\nSan Francisco', 'Precio\n$310.000.000', 'Antigüedad\nEntre 5 y 10 años', 'Área construida\n72 m²', 'Área privada\n72 m²', 'Valor administración\n$280.000', 'Parqueaderos\n1', '3\nHabitaciones', '2\nBaños', '4\nEstrato']",San Francisco,Entre 5 y 10 años,72 m²,72 m²,"Piso 7 , ",,,
