url,name,main_location,asociate_location,type,description,price,feats,address,neighborhood,characteristics
https://fincaraiz.com.co/inmueble/apartamento-en-venta/usaquen/bogota/7976247,apartamento en venta,usaquén - bogotá - cundinamarca,"usaquén, bosque de pinos, la acanada, sierras del moral, bosques del marques, bosque de la reserva, alameda, cedritos, bosques de la cañada, belmira, montearroyo, las acasias, bogotá, usaquen, zona norte, zona norte, cundinamarca, bogotá, d.c.",inmobiliaria,"venta apartamento bosque medina. hermosa vista. dos terrazas, una con salida desde la sala comedor y otra desde la habitación ppal. 267 metros sala, comedor, cocina, zona lavanderia cuarto y baño servicio, tres alcobas todas con vestier y baño, hall de habitaciones. 4 parqueaderos, dos depósitos, club house con jaula de squash, gimnasio, piscina y zonas húmedas.16 años construido.. .", precio total (cop) $ 1.860.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '4'}, {'parqueaderos': '4'}, {'área construída': '267 m²'}, {'área privada': '267 m²'}, {'estrato': '6'}, {'antigüedad': '16 a 30 años'}, {'piso n°': '4'}, {'administración': '$ 1.700.000 cop'}, {'precio m²': '$ 6.966.292,13*m²'}]",preguntar al anunciante,usaquén - bogotá,
https://fincaraiz.com.co/inmueble/apartamento-en-venta/country-club/bogota/10172934,apartamento en venta,"country club - bogotá - bogotá, d.c.","country club, la carolina, portales contry, bogotá, usaquen, zona norte, bogotá, d.c.",usado · destacado,"apartamento exterior, con vista al oriente de la ciudad (sol de mañana), sala-comedor, estudio, alcoba principal con vestier y baño privado, las otras dos alcobas comparten baño, baño social, alcoba y baño de servicio. en zonas comunes el edificio cuenta con cancha de squash, jaula de golf, gimnasio, salón comunal, cancha multiple y muy buenas zonas verdes. ideal para familias con niños.", precio total (cop) $ 990.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '3'}, {'parqueaderos': '2'}, {'área construída': '150 m²'}, {'área privada': '150 m²'}, {'estrato': '6'}, {'antigüedad': 'más de 30 años'}, {'piso n°': '4'}, {'administración': '$ 762.000 cop'}, {'precio m²': '$ 6.600.000*m²'}]",calle 127c # 11b - 85,country club - bogotá,"
características del exterior
ascensor
cancha de squash
canchas deportivas
en conjunto cerrado
garaje(s)
gimnasio
jaula de golf
planta eléctrica
portería / recepción
salón comunal
vigilancia
zona infantil
zonas verdes
características del interior
chimenea
cuarto de servicio
depósito / bodega
estudio
características del sector
parques cercanos
supermercados / c.comerciales
trans. público cercano"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/batallon-infanteria/barranquilla/10193128,apartamento en venta,batallon infanteria - barranquilla - atlantico,"batallon infanteria, barranquilla, comuna 16, norte centro - historico, norte centro historico, riomar, atlantico",inmobiliaria,"descubre tu nuevo hogar en este encantador apartamento. ubicado a pasos del impresionante malecón del río, podrás disfrutar de la serenidad del agua y la majestuosidad de la ciudad desde la comodidad de tu propio espacio. con una distribución expertamente diseñada, cada rincón de este apartamento ha sido cuidadosamente pensado para ofrecerte funcionalidad y estilo. este apartamento de 2 alcobas te brinda una oportunidad única: la posibilidad de convertirlo en un santuario de 3 habitaciones según tus necesidades. además, cuenta con un parqueadero bajo techo, asegurando la protección de tu vehículo en todo momento. y para completar esta oferta excepcional, un espacioso depósito, amueblado con elegancia, está listo para almacenar tus pertenencias de manera organizada. vive la vida al máximo en este apartamento que combina ubicación privilegiada, vistas cautivadoras y una flexibilidad que se adapta a tu estilo de vida. ¡no pierdas la oportunidad de hacerlo tuyo hoy mismo!", precio total (cop) $ 240.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '2'}, {'baños': '2'}, {'parqueaderos': '1'}, {'área construída': '59 m²'}, {'área privada': '59 m²'}, {'estrato': '4'}, {'antigüedad': '1 a 8 años'}, {'piso n°': '10'}, {'administración': '$ 200.000 cop'}, {'precio m²': '$ 4.067.796,61*m²'}, {'tipo de apartamento': 'loft'}]",preguntar al anunciante,batallon infanteria - barranquilla,"
características del exterior
ascensor
circuito cerrado de tv
en conjunto cerrado
garaje(s)
gimnasio
jardín
parqueadero visitantes
piscina
planta eléctrica
portería / recepción
salón comunal
salón de juegos
terraza
vigilancia
vista panorámica
zona infantil
zonas verdes
características del interior
baño auxiliar
citófono


hall de alcobas
instalación de gas
zona de lavandería
características del sector
colegios / universidades
parques cercanos
sobre vía principal
supermercados / c.comerciales
trans. público cercano"
https://fincaraiz.com.co/proyecto-de-vivienda/llano-alto-3/ca%ef%bf%bdos-negros/villavicencio/6517073,llano alto 3,caños negros - villavicencio - meta,"caños negros, villavicencio, comuna 4, comuna 5, meta",proyecto,"llanoalto 3, es un conjunto residencial de apartamentos ubicado en el plan parcial la maria ii en la ciudad de villavicencio - meta. consta de 440 unidades de vivienda, distruibidas en 80 unidades tipo vip y 360 unidades tope vis. cuenta con 4 torres tipo vip de 5 pisos y 9 torres topevis de 10 pisos. las torres de 10 pisos cuentan con ascensor y todas las torres cuentan con 4 apartamentos por piso. el proyecto delimita al norte con el conjunto residencial llanoalto ii..", desde (cop) $ 156.600.000 hasta (cop) $ 156.600.000 ¿te interesó este proyecto? información legal reportar anuncio,"['', {'estrato': '3'}]",kilometro 2 via catama 500 metros antes del hotel campanario,caños negros - villavicencio,"
características del exterior
ascensor
garaje / parqueadero(s)
parqueadero visitantes
piscina
portería / recepción
tanques de agua
vivienda multifamiliar
zonas verdes
características del interior
parqueadero visitantes
servicios públicos
ventilación natural
zona de lavandería
características del sector
colegios / universidades
cómodas vias de acceso
parques cercanos"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/paramo-iii-rural/bogota/10098590,apartamento en venta,"santa ana occidental - bogotá - bogotá, d.c.","paramo iii rural, santa ana occidental, escuela de infanteria, santa ana centro comercial boutique, escuela de caballeria, bogotá, usaquen, zona nororiental, bogotá, d.c.",inmobiliaria,"para inversionistas, alta valorizacion, apartamento, de1 alcoba, baño grande, lavandería independiente, cocina abierta grande sala, terraza cubierta de 2.55 mtrs, interior con excelente luz, 1 garaje, segundo piso. contrato hasta agosto de l2023, tiene acceso por la cra 7 y cra 9 , con 106,a 1 cuadra del teatro patria y universidad militar, escuela de caballería, centro comercial santa barbara, fundación santa fe de bogotá, diagonal al barrio santa ana alta, sector de alta seguridad. terraza con bbq, mobiliario y vista de 90 grados.", precio total (cop) $ 320.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '1'}, {'baños': '1'}, {'parqueaderos': '1'}, {'área construída': '42,8 m²'}, {'área privada': '42,8 m²'}, {'estrato': '5'}, {'antigüedad': '1 a 8 años'}, {'piso n°': '2'}, {'administración': '$ 287.000 cop'}, {'precio m²': '$ 7.476.635,51*m²'}]",preguntar al anunciante,paramo iii rural - bogotá,"
características del exterior
ascensor
garaje(s)
planta eléctrica
portería / recepción
vigilancia
características del interior
balcón
barra estilo americano
calentador
citófono
cocina integral
zona de lavandería
características del sector
colegios / universidades
parques cercanos
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/casa-en-venta/loma-el-atravesado/envigado/8196047,casa en venta,loma el atravesado - envigado - antioquia,"loma el atravesado, zuñiga, loma el atravesado, avila, burdeos, envigado, comuna 4, antioquia",inmobiliaria · destacado,"casa en venta en envigado, loma el atravesado. moderna, de 2 niveles, con espacios amplios e iluminados. su zona verde le aporta un ambiente fresco. la casa es de 205mts construidos + 45, 70 mts de terraza y jardín. al interior encontramos 3 alcobas con baño privado (ppal con balcón). biblioteca amplia, sala comedor, cocina abierta y alcoba de servicio. unidad cerrada muy tranquila y muy familiar. .", precio total (cop) $ 1.410.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}]",preguntar al anunciante,loma el atravesado - envigado,
https://fincaraiz.com.co/inmueble/apartamento-en-venta/cedritos/bogota/7009006,apartamento en venta,cedritos - bogotá - cundinamarca,"cedritos, alameda, cedro narvaez, capri, acacias usaquen, bogotá, usaquen, zona norte, zona norte, cundinamarca, bogotá, d.c.",inmobiliaria · destacado,"lindo apartamento en venta ubicado en cedritos, ciento cinco metros, vista exterior desde la sala, consta de tres habitaciones, la principal con baño privado y closet. habitación secundaria con closet, dos baños completos, amplia cocina integral, excelente iluminación, zona de lavandería, sala comedor, estudio, dos parqueaderos propios y cubiertos en linea, salón social, jardines, parqueaderos para visitantes, vías de fácil acceso, cerca de supermercados, cerca al centro comercial palatino..", precio total (cop) $ 430.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '3'}, {'parqueaderos': '2'}, {'área construída': '105 m²'}, {'área privada': '105 m²'}, {'estrato': '4'}, {'estado': 'bueno'}, {'antigüedad': 'más de 30 años'}, {'piso n°': '6'}, {'administración': '$ 570.000 cop'}, {'precio m²': '$ 4.095.238,1*m²'}]",preguntar al anunciante,cedritos - bogotá,
https://fincaraiz.com.co/inmueble/casa-en-venta/los-naranjos/dosquebradas/7312512,casa en venta,los naranjos - dosquebradas - risaralda,"los naranjos, los naranjos, buenos aires, dosquebradas, comuna 12, comuna 09, nuestra señora de guadalupe, risaralda",inmobiliaria,"casa grande y amplia. aprovechar su excelente posición para vivir o construir 4 pisos mas. su lote de 6, 5 x 24 de fondo permite hacer algo maravilloso. esta a 5 cuadras del centro comercial el porgreso. toda la disponibilidad de transporte. parque del barrio a una cuadra y la iglesia. la casa se disfruta al tener espacios amplios, y recorrerla con tranquilidad por ser de un solo nivel. 3 habitaciones con closet. cielo razo nuevo. techo principal nuevo. y un patio inmenso. recién pintada..", precio total (cop) $ 280.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '2'}, {'área construída': '160 m²'}, {'área privada': '144 m²'}, {'estrato': '3'}, {'estado': 'bueno'}, {'antigüedad': '16 a 30 años'}, {'piso n°': '1'}, {'administración': 'no definida'}, {'precio m²': '$ 1.750.000*m²'}]",preguntar al anunciante,los naranjos - dosquebradas,"
características del interior
baño auxiliar
calentador
cocina integral
comedor auxiliar
despensa
hall de alcobas
instalación de gas
patio
piso en baldosa / mármol
características del sector
parques cercanos
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/casa-en-venta/engativa/bogota/10142236,casa en venta,"bonanza - bogotá - bogotá, d.c.","engativá, bonanza, bogotá, engativa, zona noroccidente, bogotá, d.c.",inmobiliaria · destacado,"vendo casa barrio bonanza de 2 pisos: frente de 6mt, x 20mt fondo. 1 piso: parqueadero cubierto para 2 carros, sala de estar, baño social, sala comedora, cocina integral, aparta estudio con baño privado, patio, terraza. 2 piso: 4 habitaciones,1 baño, hall habitaciones. remodelada total hace 15 años: cambio de tuberías, cambio cableado eléctrico. excelente ubicación: avenida boyacá, av. calle80, av. calle 72, av. rojas. humedal santamaria, el barrio de los parques bonanza, gimnasios al aire libre, centros comerciales, titan plaza. makro, alkosto, exito, onli, plaza de mercado las ferias.", precio total (cop) $ 580.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '4'}, {'baños': '3'}, {'área construída': '160 m²'}, {'área privada': '0 m²'}, {'estrato': '3'}, {'antigüedad': '16 a 30 años'}, {'piso n°': '2'}, {'administración': 'no definida'}, {'precio m²': '$ 3.625.000*m²'}]",preguntar al anunciante,engativá - bogotá,"
características del exterior
terraza
vista panorámica
zona infantil
zonas verdes
características del interior
chimenea
cocina integral
depósito / bodega
estudio
hall de alcobas
instalación de gas
patio
piso en baldosa / mármol
zona de lavandería
características del sector
colegios / universidades
parques cercanos
sobre vía principal
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/casa-en-venta/barrio-el-emporio/villavicencio/5939042,casa en venta,emporio - villavicencio - meta,"barrio el emporio, villa julia, emporio, prado, villavicencio, comuna 1, comuna 3, zona 1, zona 3, meta",inmobiliaria · destacado,"la casa consta de: sala comedor, tres habitaciones, dos baños, un estudio, cocina, patio de ropas amplio de 7x7 y zona de lavandería, la casa cuenta con un área de 7x23 y se podrían construir apartamentos o una empresa..", precio total (cop) $ 320.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '2'}, {'parqueaderos': '1'}, {'área construída': '161 m²'}, {'área privada': '161 m²'}, {'estrato': '3'}, {'estado': 'bueno'}, {'antigüedad': 'más de 30 años'}, {'piso n°': '1'}, {'administración': 'no definida'}, {'precio m²': '$ 1.987.577,64*m²'}]",preguntar al anunciante,barrio el emporio - villavicencio,
